ticker,pay_date,ex_date,confidence,source
O5RU,2022-03-25,2022-02-09,high,dividends.sg/divvydiary
O5RU,2022-06-04,2022-05-09,low,proximity to 24-Jun-2022 distribution; no separate Jun-4 distribution found
O5RU,2022-06-24,2022-05-09,high,dividends.sg/divvydiary
O5RU,2022-09-23,2022-08-03,high,dividends.sg/divvydiary
O5RU,2022-12-23,2022-11-03,high,dividends.sg/divvydiary
O5RU,2023-03-24,2023-02-02,high,dividends.sg/divvydiary
O5RU,2023-06-28,2023-05-12,high,dividends.sg/divvydiary
O5RU,2023-07-20,2023-06-08,high,dividends.sg/divvydiary
O5RU,2023-09-22,2023-08-04,high,dividends.sg/divvydiary
O5RU,2023-12-22,2023-11-14,high,dividends.sg/divvydiary
O5RU,2024-03-22,2024-02-08,high,dividends.sg/divvydiary
O5RU,2024-06-24,2024-05-15,high,dividends.sg/divvydiary
O5RU,2024-09-25,2024-08-08,high,dividends.sg/divvydiary
O5RU,2024-12-24,2024-11-13,high,dividends.sg/divvydiary
O5RU,2025-03-26,2025-02-07,high,dividends.sg/divvydiary
O5RU,2025-06-25,2025-05-16,high,dividends.sg/divvydiary
O5RU,2025-09-24,2025-08-08,high,dividends.sg/divvydiary
O5RU,2025-12-24,2025-11-13,high,dividends.sg/divvydiary
O5RU,2026-03-26,2026-02-13,high,dividends.sg/divvydiary
S7OU,2018-12-21,2018-12-13,high,divvydiary
S7OU,2019-03-29,2019-03-21,high,divvydiary/SGX announcement
S7OU,2019-06-20,2019-06-19,high,SGX corporateactions API
S7OU,2019-09-27,2019-09-19,high,divvydiary
S7OU,2019-12-24,2019-12-16,high,divvydiary
CRPU,2019-09-26,2019-08-22,high,digrin
CRPU,2019-12-27,2019-11-28,high,digrin
CRPU,2020-03-26,2020-03-05,high,digrin
CRPU,2020-06-26,2020-05-28,high,digrin
CRPU,2020-09-25,2020-08-28,high,digrin
CRPU,2020-12-28,2020-12-11,high,digrin
CRPU,2021-03-26,2021-03-11,high,digrin
CRPU,2021-06-25,2021-06-10,high,digrin
CRPU,2021-09-28,2021-09-10,high,digrin
CRPU,2021-12-28,2021-12-10,high,digrin
CRPU,2022-03-29,2022-03-17,high,dividends.sg
CRPU,2022-06-28,2022-06-10,high,dividends.sg
CRPU,2022-09-27,2022-09-09,high,dividends.sg
CRPU,2022-12-28,2022-12-09,high,dividends.sg
CRPU,2023-03-28,2023-03-16,high,dividends.sg
CRPU,2023-06-27,2023-06-09,high,dividends.sg
CRPU,2023-09-26,2023-09-08,high,dividends.sg
CRPU,2023-12-27,2023-12-08,high,dividends.sg
CRPU,2024-03-28,2024-03-18,high,dividends.sg
CRPU,2024-09-26,2024-09-05,high,dividends.sg
CRPU,2025-03-27,2025-03-17,high,dividends.sg
CRPU,2025-09-26,2025-09-11,high,dividends.sg
CRPU,2026-03-26,2026-03-16,high,dividends.sg
SET,2020-03-30,2020-03-03,high,digrin CWBU
SET,2020-09-28,2020-08-21,high,digrin CWBU
SET,2021-03-31,2021-03-03,high,digrin CWBU
SET,2021-09-28,2021-08-20,high,digrin CWBU
SET,2022-03-31,2022-03-02,high,digrin/dividends.sg
SET,2022-09-28,2022-08-22,high,digrin CWBU
SET,2023-03-31,2023-03-03,high,digrin/dividends.sg
SET,2023-09-28,2023-08-21,high,digrin/dividends.sg
SET,2024-03-28,2024-03-04,high,digrin/dividends.sg
SET,2024-09-27,2024-08-15,high,digrin CWBU
SET,2025-03-28,2025-03-05,high,digrin/investing.com
SET,2025-09-26,2025-08-20,high,investing.com
SET,2026-03-31,2026-03-04,high,investing.com
ADQU,2019-06-21,2019-06-11,high,SGX notice last-cum 10Jun BC 12Jun
ADQU,2019-12-18,2019-12-03,medium,investing.com amt 2.61c
ADQU,2020-06-29,2020-06-19,high,investing.com+BC 22Jun
ADQU,2020-09-08,2020-08-31,medium,investing.com amt 1.12c
ADQU,2021-08-17,2021-08-06,medium,investing.com record 10Aug
D05,2018-05-15,2018-05-03,high,dividendmax final+special ex 03May
D05,2018-08-21,2018-08-08,high,dividendmax interim
D05,2019-05-17,2019-05-02,high,dividendmax final 0.60
D05,2019-05-31,2019-05-17,high,dividendmax special 0.30
D05,2019-08-20,2019-08-05,high,dividendmax quarterly
D05,2019-11-29,2019-11-18,high,dividendmax quarterly
D05,2020-05-26,2020-05-12,high,dividendmax quarterly+special
D05,2020-10-05,2020-08-14,high,dividendmax quarterly (MAS-cap delayed pay)
D05,2020-12-29,2020-11-12,high,dividendmax quarterly (MAS-cap delayed pay)
D05,2021-05-24,2021-04-07,high,growbeansprout Q4FY20 0.18
D05,2021-06-25,2021-05-10,high,growbeansprout Q1FY21 0.18
D05,2021-08-26,2021-08-13,high,dividendmax/growbeansprout quarterly
D05,2021-11-26,2021-11-12,high,dividendmax/growbeansprout quarterly
D05,2022-04-22,2022-04-08,high,dividends.sg ordinary
D05,2022-05-25,2022-05-11,high,dividends.sg ordinary
D05,2022-08-26,2022-08-15,high,dividends.sg ordinary
D05,2022-11-24,2022-11-11,high,dividends.sg ordinary
D05,2023-04-21,2023-04-10,high,dividends.sg ordinary+special
D05,2023-05-22,2023-05-09,high,dividends.sg ordinary
D05,2023-08-24,2023-08-11,high,dividends.sg ordinary
D05,2023-11-27,2023-11-14,high,dividends.sg ordinary
D05,2024-04-19,2024-04-05,high,dividends.sg ordinary
D05,2024-05-20,2024-05-09,high,dividends.sg ordinary
D05,2024-08-26,2024-08-15,high,dividends.sg ordinary
D05,2024-11-25,2024-11-14,high,dividends.sg ordinary
D05,2025-04-16,2025-04-07,high,dividends.sg ordinary
D05,2025-05-27,2025-05-16,high,dividends.sg ordinary+special
D05,2025-08-25,2025-08-14,high,dividends.sg ordinary+special
D05,2025-11-24,2025-11-13,high,dividends.sg ordinary+special
D05,2026-04-17,2026-04-08,high,dividends.sg ordinary+special
D05,2026-05-20,2026-05-11,high,dividends.sg ordinary
O39,2020-10-07,2020-08-15,high,dividendmax interim 15.9
O39,2021-06-29,2021-05-12,high,dividendmax final 15.9
O39,2021-08-26,2021-08-13,high,dividendmax interim 25
O39,2022-05-20,2022-05-06,high,dividends.sg ordinary
O39,2022-08-25,2022-08-12,high,dividends.sg ordinary
O39,2023-05-19,2023-05-08,high,dividends.sg ordinary
O39,2023-08-25,2023-08-14,high,dividends.sg ordinary
N2IU,2020-05-29,2020-04-29,high,growbeansprout+books-closure 30Apr2020
N2IU,2020-11-27,2020-10-29,high,growbeansprout+investing.com
N2IU,2021-06-04,2021-05-04,high,growbeansprout+investing.com
N2IU,2021-11-30,2021-11-03,high,growbeansprout+investing.com
N2IU,2022-06-03,2022-04-27,high,dividends.sg
N2IU,2022-08-25,2022-07-19,high,dividends.sg
N2IU,2022-12-07,2022-11-03,high,dividends.sg
N2IU,2023-03-15,2023-02-07,high,dividends.sg
N2IU,2023-06-15,2023-05-05,high,dividends.sg
N2IU,2023-09-14,2023-08-07,high,dividends.sg
N2IU,2023-12-08,2023-11-02,high,dividends.sg
N2IU,2024-03-14,2024-02-05,high,dividends.sg
N2IU,2024-06-06,2024-05-02,high,dividends.sg
N2IU,2024-09-12,2024-08-06,high,dividends.sg
N2IU,2024-12-06,2024-11-01,high,dividends.sg
N2IU,2025-03-07,2025-02-03,high,dividends.sg
N2IU,2025-06-06,2025-05-02,high,dividends.sg
N2IU,2025-09-11,2025-08-06,high,dividends.sg
N2IU,2025-12-04,2025-10-29,high,dividends.sg
N2IU,2026-03-18,2026-02-06,high,dividends.sg
C38U,2020-06-05,2020-05-11,high,growbeansprout
C38U,2020-08-28,2020-07-29,high,growbeansprout
C38U,2020-11-19,2020-10-19,high,growbeansprout
C38U,2021-03-09,2021-01-28,high,growbeansprout
C38U,2021-09-09,2021-08-04,high,growbeansprout
C38U,2022-01-28,2021-12-14,high,growbeansprout
C38U,2022-03-15,2022-02-08,high,dividends.sg
C38U,2022-09-09,2022-08-04,high,dividends.sg
C38U,2023-03-17,2023-02-08,high,dividends.sg
C38U,2023-09-15,2023-08-08,high,dividends.sg
C38U,2024-09-26,2024-08-20,high,dividends.sg
C38U,2024-10-17,2024-09-10,high,dividends.sg
C38U,2025-03-21,2025-02-12,high,dividends.sg
C38U,2025-09-18,2025-08-12,high,dividends.sg
C38U,2026-03-24,2026-02-13,high,dividends.sg
C52,2021-05-20,2021-05-07,high,growbeansprout
C52,2021-09-02,2021-08-20,high,growbeansprout
C52,2022-05-27,2022-05-09,high,dividends.sg
C52,2022-08-29,2022-08-19,high,dividends.sg
C52,2023-05-18,2023-05-08,high,dividends.sg
C52,2023-08-31,2023-08-21,high,dividends.sg
C52,2024-05-15,2024-05-06,high,dividends.sg
C52,2024-08-29,2024-08-21,high,dividends.sg
C52,2025-05-14,2025-05-05,high,dividends.sg
C52,2025-08-28,2025-08-20,high,dividends.sg
C52,2026-05-13,2026-05-04,high,dividends.sg
S61,2021-05-19,2021-05-06,high,growbeansprout
S61,2021-09-01,2021-08-19,high,growbeansprout
S61,2022-05-26,2022-05-06,high,dividends.sg
S61,2022-08-25,2022-08-17,high,dividends.sg
S61,2023-05-16,2023-05-05,high,dividends.sg
S61,2023-08-30,2023-08-21,high,dividends.sg
S61,2024-05-14,2024-05-03,high,dividends.sg
S61,2024-08-28,2024-08-20,high,dividends.sg
S61,2025-05-13,2025-05-02,high,dividends.sg
S61,2025-08-26,2025-08-18,high,dividends.sg
S61,2026-05-11,2026-04-30,high,dividends.sg
9CI,2021-05-18,2021-05-03,high,SGX corporateactions API
9CI,2021-09-17,2021-09-12,high,SGX corporateactions API
9CI,2022-05-20,2022-05-05,high,dividends.sg
9CI,2023-05-15,2023-04-28,high,dividends.sg
9CI,2024-05-15,2024-05-02,high,dividends.sg
9CI,2025-05-15,2025-05-02,high,dividends.sg
Z74,2017-08-17,2017-08-01,high,dividendmax
Z74,2018-01-10,2017-12-18,high,dividendmax
Z74,2018-08-13,2018-07-26,high,dividendmax
Z74,2019-01-10,2018-12-18,high,dividendmax
Z74,2019-08-15,2019-07-26,high,dividendmax
Z74,2020-01-10,2019-12-18,high,dividendmax
Q01,2018-06-22,2018-05-03,high,investing.com+digrin
Q01,2018-10-17,2018-08-29,high,digrin interim ex29Aug pay~16Oct
Q01,2019-05-22,2019-05-06,high,investing.com+digrin
Q01,2019-09-25,2019-09-09,high,investing.com+digrin
Q01,2020-06-05,2020-05-13,high,investing.com+digrin
Q01,2020-09-25,2020-09-09,high,investing.com+digrin
Q01,2021-05-25,2021-05-06,high,investing.com+digrin
Q01,2021-09-27,2021-09-09,high,investing.com+digrin
Q01,2022-02-15,2022-01-24,high,dividends.sg
Q01,2022-05-25,2022-05-05,high,dividends.sg
Q01,2022-09-26,2022-09-08,high,dividends.sg
Q01,2023-05-24,2023-05-04,high,dividends.sg
Q01,2023-09-25,2023-09-07,high,dividends.sg
F34,2018-05-16,2018-05-03,high,growbeansprout
F34,2018-08-31,2018-08-20,high,growbeansprout
F34,2021-05-06,2021-04-23,high,growbeansprout
F34,2021-08-27,2021-08-18,high,growbeansprout
F34,2022-05-06,2022-04-26,high,dividends.sg
F34,2022-08-24,2022-08-15,high,dividends.sg
F34,2023-05-12,2023-04-27,high,dividends.sg
F34,2023-08-30,2023-08-21,high,dividends.sg
F34,2024-05-14,2024-04-29,high,dividends.sg
F34,2024-08-29,2024-08-20,high,dividends.sg
F34,2025-05-15,2025-04-29,high,dividends.sg
F34,2025-08-28,2025-08-19,high,dividends.sg
F34,2026-05-14,2026-04-29,high,dividends.sg
U96,2021-05-06,2021-04-27,high,dividendmax+growbeansprout
U96,2021-08-24,2021-08-16,high,growbeansprout interim 0.02
U96,2022-05-10,2022-04-26,high,dividendmax+dividends.sg
F17,2017-11-21,2017-10-26,high,growbeansprout
F17,2018-11-22,2018-10-30,high,growbeansprout
F17,2019-11-21,2019-10-31,high,growbeansprout
UD1U,2020-08-27,2020-08-18,high,growbeansprout
UD1U,2021-03-12,2021-03-04,high,growbeansprout
UD1U,2021-08-27,2021-06-28,medium,growbeansprout (unusual ~2mo gap)
UD1U,2022-03-15,2022-03-04,high,dividends.sg
UD1U,2022-08-31,2022-08-18,high,dividends.sg
UD1U,2023-03-23,2023-03-02,high,dividends.sg
UD1U,2023-03-24,2023-03-02,medium,dividends.sg (dup pay date)
UD1U,2023-08-31,2023-08-11,high,dividends.sg
UD1U,2024-03-21,2024-02-29,high,dividends.sg
UD1U,2024-08-28,2024-08-14,high,dividends.sg
UD1U,2025-03-27,2025-03-05,high,dividends.sg
UD1U,2025-08-28,2025-08-14,high,dividends.sg
UD1U,2026-03-26,2026-03-05,high,dividends.sg
BTOU,2020-09-25,2020-08-11,high,growbeansprout
BTOU,2021-03-30,2021-02-16,high,growbeansprout
BTOU,2021-09-27,2021-08-19,high,growbeansprout
BTOU,2022-02-17,2021-12-07,high,growbeansprout (advanced distrib)
BTOU,2022-03-30,2022-02-16,high,dividends.sg
BTOU,2022-09-27,2022-08-12,high,dividends.sg
BTOU,2023-03-30,2023-02-16,high,dividends.sg
H78,2020-10-14,2020-08-20,high,growbeansprout
H78,2021-05-12,2021-03-25,high,growbeansprout
H78,2021-10-13,2021-08-19,high,growbeansprout
H78,2022-05-11,2022-03-17,high,dividends.sg
H78,2022-10-12,2022-08-18,high,dividends.sg
CMOU,2023-09-29,2023-08-02,high,growbeansprout
CMOU,2026-03-30,2026-02-10,high,dividends.sg
LIW,2020-03-30,,low,EHT suspended 2020-03-24; no verifiable ex-date
HMN,2023-08-15,2023-08-03,medium,dividends.sg (H1FY23; pay offset)
HMN,2024-03-15,2024-02-05,medium,dividends.sg (H2FY23; pay offset)
AAPL,2023-02-15,2023-02-10,high,dividendhistory
AAPL,2023-05-15,2023-05-12,high,dividendhistory
AAPL,2023-08-15,2023-08-11,high,dividendhistory
AAPL,2023-11-15,2023-11-10,high,dividendhistory
BABA,2024-01-22,2023-12-20,medium,SEC 6-K/search
BABA,2024-07-16,2024-06-13,high,dividendhistory
BABA,2025-07-11,2025-06-12,high,dividendhistory
INTC,2022-12-02,2022-11-04,high,dividendhistory
INTC,2023-03-02,2023-02-06,high,dividendhistory
INTC,2023-06-02,2023-05-04,high,dividendhistory
NVDA,2025-04-04,2025-03-12,high,dividendhistory
NVDA,2025-07-07,2025-06-11,high,dividendhistory
42R,2017-02-17,2017-02-02,high,investing.com+divvydiary
42R,2017-06-08,2017-05-23,high,investing.com+divvydiary
42R,2018-02-14,2018-02-02,high,investing.com+divvydiary
42R,2018-06-07,2018-05-23,medium,investing.com/divvydiary differ 1d
42R,2019-02-18,2019-02-04,high,investing.com+divvydiary
42R,2019-06-04,2019-05-22,high,investing.com+divvydiary
42R,2020-02-05,2020-01-22,high,investing.com+divvydiary
1J5,2019-05-24,2019-05-10,high,investing.com+divvydiary
1J5,2020-06-08,2020-05-22,high,investing.com+divvydiary
1J5,2021-05-25,2021-05-10,high,investing.com+divvydiary
1J5,2022-05-25,2022-05-12,high,investing.com+divvydiary+dividends.sg
1J5,2023-05-25,2023-05-10,high,dividends.sg
J2T,2019-05-22,2019-05-07,high,divvydiary
J2T,2020-07-17,2020-07-03,high,divvydiary
J2T,2021-05-21,2021-05-10,high,divvydiary
J2T,2022-05-20,2022-05-09,high,dividends.sg
J2T,2023-05-19,2023-05-08,high,dividends.sg
OU8,2018-05-18,2018-05-04,high,divvydiary
OU8,2018-09-04,2018-08-20,high,divvydiary
OU8,2019-05-23,2019-05-07,high,divvydiary
OU8,2019-09-12,2019-08-27,high,divvydiary
OU8,2020-05-26,2020-05-08,high,divvydiary
OU8,2022-05-27,2022-05-09,high,dividends.sg
OU8,2022-09-29,2022-09-07,high,dividends.sg
43Q,2016-09-30,2016-09-20,high,investing.com interim
43Q,2017-05-31,2017-05-11,high,investing.com final
43Q,2017-09-29,2017-09-19,high,investing.com interim
558,2019-10-25,2019-10-09,high,divvydiary 2nd interim
5CP,2020-03-06,2020-02-21,high,investing.com interim
5CP,2020-11-17,2020-11-04,high,investing.com final
5E2,2024-05-30,,low,no cash dividend; 20:1 share consolidation completed 2024-05-09 (no ex-date)
5E2,2025-05-19,2025-05-06,high,dividends.sg + investing.com
MR7,2019-05-14,2019-05-02,high,investing.com final
MR7,2019-09-05,2019-08-22,high,investing.com interim
CHZ,2018-05-17,2018-05-04,high,investing.com annual
CHZ,2019-05-15,2019-05-06,high,investing.com annual
BVA,2017-07-17,2017-07-03,high,investing.com KLSE entitlement (dual-listed; SGX BVA same ex-date)
P40U,2018-02-28,2018-02-02,high,growbeansprout distribution
SV3U,2018-02-28,2018-01-26,high,investing.com final distribution
